region,Year,quantity,China,Europe,Rest of the World,USA
China,2010,632.5,0.0,0.0,1.0,0.0
China,2011,1174.0,,,,
China,2012,2488.0,0.0,1.0,0.0,0.0
China,2013,4056.0,,,,
China,2014,16696.0,0.0,1.0,0.0,0.0
China,2015,49833.333333333336,,,,
China,2016,79933.33333333333,0.0,3.0,3.0,1.0
China,2017,115374.28571428571,1.0,6.0,7.0,0.0
China,2018,158186.25,1.0,6.0,8.0,1.0
China,2019,118345.8,2.0,31.0,35.0,1.0
China,2020,124232.8,5.0,30.0,26.0,8.0
China,2021,282055.1666666667,8.0,60.0,84.0,7.0
China,2022,512992.5,27.0,67.0,81.0,11.0
China,2023,765058.1818181818,14.0,28.0,37.0,5.0
Europe,2010,500.7142857142857,0.0,0.0,1.0,0.0
Europe,2011,2334.0,,,,
Europe,2012,5061.0,0.0,1.0,0.0,0.0
Europe,2013,8311.5,,,,
Europe,2014,10480.1,0.0,1.0,0.0,0.0
Europe,2015,22163.11111111111,,,,
Europe,2016,22640.3,0.0,3.0,3.0,1.0
Europe,2017,28825.909090909092,1.0,6.0,7.0,0.0
Europe,2018,38717.72727272727,1.0,6.0,8.0,1.0
Europe,2019,55702.454545454544,2.0,31.0,35.0,1.0
Europe,2020,131233.54545454544,5.0,30.0,26.0,8.0
Europe,2021,197534.33333333334,8.0,60.0,84.0,7.0
Europe,2022,254866.63636363635,27.0,67.0,81.0,11.0
Europe,2023,289417.0833333333,14.0,28.0,37.0,5.0
ROTW,2010,3083.0,0.0,0.0,1.0,0.0
ROTW,2011,15914.0,,,,
ROTW,2012,31205.5,0.0,1.0,0.0,0.0
ROTW,2013,32260.3,,,,
ROTW,2014,45193.0,0.0,1.0,0.0,0.0
ROTW,2015,40431.0,,,,
ROTW,2016,50018.0,0.0,3.0,3.0,1.0
ROTW,2017,109153.0,1.0,6.0,7.0,0.0
ROTW,2018,214792.0,1.0,6.0,8.0,1.0
ROTW,2019,124582.0,2.0,31.0,35.0,1.0
ROTW,2020,177152.0,5.0,30.0,26.0,8.0
ROTW,2021,477055.0,8.0,60.0,84.0,7.0
ROTW,2022,682007.0,27.0,67.0,81.0,11.0
ROTW,2023,1103265.0,14.0,28.0,37.0,5.0
USA,2010,1200.0,0.0,0.0,1.0,0.0
USA,2011,5996.666666666667,,,,
USA,2012,18002.166666666668,0.0,1.0,0.0,0.0
USA,2013,32336.23333326967,,,,
USA,2014,29520.25,0.0,1.0,0.0,0.0
USA,2015,22946.2,,,,
USA,2016,40400.0,0.0,3.0,3.0,1.0
USA,2017,49122.5,1.0,6.0,7.0,0.0
USA,2018,90830.0,1.0,6.0,8.0,1.0
USA,2019,81890.0,2.0,31.0,35.0,1.0
USA,2020,59148.4,5.0,30.0,26.0,8.0
USA,2021,126843.0,8.0,60.0,84.0,7.0
USA,2022,199048.0,27.0,67.0,81.0,11.0
USA,2023,348437.5,14.0,28.0,37.0,5.0
