region,Year,quantity,Policy Count
China,2010,632.5,0
China,2011,1174,0
China,2012,2488,0
China,2013,4056,0
China,2014,16696,0
China,2015,49833.333333333336,0
China,2016,79933.33333333333,0
China,2017,115374.28571428571,1
China,2018,158186.25,1
China,2019,118345.8,2
China,2020,124232.8,5
China,2021,282055.1666666667,8
China,2022,512992.5,27
China,2023,765058.1818181818,14
Europe,2010,500.7142857142857,0
Europe,2011,2334,0
Europe,2012,5061,1
Europe,2013,8311.5,0
Europe,2014,10480.1,1
Europe,2015,22163.11111111111,0
Europe,2016,22640.3,3
Europe,2017,28825.909090909092,6
Europe,2018,38717.72727272727,6
Europe,2019,55702.454545454544,31
Europe,2020,131233.54545454544,30
Europe,2021,197534.33333333334,60
Europe,2022,254866.63636363635,67
Europe,2023,289417.0833333333,28
ROTW,2010,3083,1
ROTW,2011,15914,0
ROTW,2012,31205.5,0
ROTW,2013,32260.3,0
ROTW,2014,45193,0
ROTW,2015,40431,0
ROTW,2016,50018,3
ROTW,2017,109153,7
ROTW,2018,214792,8
ROTW,2019,124582,35
ROTW,2020,177152,26
ROTW,2021,477055,84
ROTW,2022,682007,81
ROTW,2023,1103265,37
USA,2010,1200,0
USA,2011,5996.666666666667,0
USA,2012,18002.166666666668,0
USA,2013,32336.23333326967,0
USA,2014,29520.25,0
USA,2015,22946.2,0
USA,2016,40400,1
USA,2017,49122.5,0
USA,2018,90830,1
USA,2019,81890,1
USA,2020,59148.4,8
USA,2021,126843,7
USA,2022,199048,11
USA,2023,348437.5,5
